fromId,toId,straightMeters,roadMeters,ratio
5,11,99.2,236.1,2.38
5,12,623.4,1101.7,1.77
5,13,726.0,884.9,1.22
5,14,542.0,1029.7,1.90
5,15,697.9,836.1,1.20
5,18,315.2,545.7,1.73
5,20,706.1,836.1,1.18
5,27,631.9,994.9,1.57
5,32,940.1,1331.3,1.42
5,38,884.7,1242.5,1.40
5,39,879.5,1233.6,1.40
5,40,661.0,1151.8,1.74
5,41,652.4,1151.8,1.77
5,45,482.9,563.9,1.17
5,46,418.0,980.8,2.35
5,47,322.7,395.2,1.22
5,48,229.6,282.0,1.23
5,50,736.4,860.3,1.17
5,52,764.9,960.5,1.26
5,54,927.7,1331.3,1.43
5,56,705.6,1089.1,1.54
5,58,654.4,1174.5,1.79
5,64,415.5,567.0,1.36
5,76,1239.5,1851.1,1.49
5,77,1131.2,1568.8,1.39
5,78,639.7,995.0,1.56
5,81,436.1,1081.9,2.48
5,82,769.7,884.9,1.15
5,86,705.1,1052.1,1.49
5,96,673.9,1119.2,1.66
5,120,740.6,1052.1,1.42
5,121,670.9,981.0,1.46
5,128,662.5,1275.0,1.92
5,132,513.6,1207.5,2.35
5,134,446.2,796.8,1.79
5,136,393.4,1029.5,2.62
5,137,472.0,982.3,2.08
5,139,450.0,1081.9,2.40
5,143,292.3,467.0,1.60
5,144,266.0,525.1,1.97
5,145,620.8,1151.8,1.86
5,148,334.0,385.1,1.15
5,161,854.8,1176.8,1.38
5,162,917.0,1228.6,1.34
5,167,802.0,1449.2,1.81
5,175,755.9,1301.8,1.72
5,176,891.3,1621.3,1.82
5,177,1141.2,1527.1,1.34
5,178,1217.5,1607.0,1.32
5,188,282.1,304.0,1.08
5,189,230.0,282.0,1.23
5,192,189.2,235.4,1.24
5,195,822.2,1165.0,1.42
5,197,1951.2,2298.7,1.18
5,203,750.6,1108.3,1.48
5,204,890.9,1422.3,1.60
5,207,288.4,342.2,1.19
5,208,272.8,342.2,1.25
5,209,308.7,386.5,1.25
5,213,569.3,1427.1,2.51
5,215,668.2,803.9,1.20
5,216,296.4,446.6,1.51
5,221,400.2,567.0,1.42
5,224,1547.2,2045.5,1.32
5,227,548.9,609.4,1.11
5,231,486.0,563.9,1.16
5,232,1904.4,2264.1,1.19
5,235,900.6,1318.1,1.46
5,248,642.9,981.0,1.53
5,260,626.9,1021.5,1.63
5,262,503.6,627.5,1.25
5,263,293.6,716.4,2.44
5,271,208.2,235.4,1.13
5,273,931.9,1331.3,1.43
5,274,992.8,1449.0,1.46
5,275,812.8,1226.6,1.51
5,276,80.3,80.3,1.00
5,277,584.9,1268.3,2.17
5,278,1717.3,2267.5,1.32
5,279,1631.3,2271.5,1.39
5,280,1537.9,2045.5,1.33
5,283,446.3,705.1,1.58
5,284,339.0,395.2,1.17
5,286,188.0,250.5,1.33
5,288,752.7,1286.7,1.71
5,289,764.6,1286.7,1.68
5,291,652.6,1135.9,1.74
5,293,720.5,1229.7,1.71
5,294,797.6,1288.8,1.62
5,295,697.7,1124.9,1.61
5,299,704.8,882.7,1.25
5,304,648.5,1275.0,1.97
5,310,760.5,960.5,1.26
5,312,1009.6,1399.3,1.39
5,328,1440.8,2012.7,1.40
5,346,239.8,294.9,1.23
5,347,135.1,212.1,1.57
5,350,892.3,1604.3,1.80
5,358,726.0,884.9,1.22
5,361,887.0,1242.5,1.40
5,362,542.0,1029.7,1.90
5,363,706.0,949.7,1.35
5,364,676.7,884.5,1.31
5,366,641.3,994.9,1.55
5,378,884.7,1242.5,1.40
5,379,879.5,1233.6,1.40
5,380,648.0,1115.7,1.72
5,381,482.9,563.9,1.17
5,382,322.7,395.2,1.22
5,384,736.4,860.3,1.17
5,385,736.5,884.9,1.20
5,389,654.4,1174.5,1.79
5,395,415.5,567.0,1.36
5,420,639.2,994.9,1.56
11,12,652.7,995.8,1.53
11,13,824.2,1009.4,1.22
11,14,608.6,923.8,1.52
11,15,795.5,960.6,1.21
11,18,330.1,439.8,1.33
11,20,803.5,960.6,1.20
11,27,632.3,889.0,1.41
11,32,949.3,1225.4,1.29
11,38,902.2,1136.6,1.26
11,39,896.7,1127.7,1.26
11,40,727.2,1045.9,1.44
11,41,718.3,1045.9,1.46
11,45,398.6,458.0,1.15
11,46,471.3,874.9,1.86
11,47,418.2,519.7,1.24
11,48,137.6,176.1,1.28
11,50,832.9,984.8,1.18
11,52,863.7,1085.0,1.26
11,54,935.6,1225.4,1.31
11,56,707.7,983.2,1.39
11,58,736.0,1264.6,1.72
11,64,348.0,461.1,1.32
11,76,1273.1,1745.2,1.37
11,77,1160.0,1462.9,1.26
11,78,629.0,889.1,1.41
11,81,508.6,976.0,1.92
11,82,867.1,1009.4,1.16
11,86,708.5,946.2,1.34
11,96,737.7,1013.3,1.37
11,120,745.7,946.2,1.27
11,121,670.2,875.1,1.31
11,128,749.6,1228.1,1.64
11,132,601.4,1101.6,1.83
11,134,497.7,690.9,1.39
11,136,456.7,923.6,2.02
11,137,534.0,876.4,1.64
11,139,519.9,976.0,1.88
11,143,280.0,361.1,1.29
11,144,279.5,419.2,1.50
11,145,688.5,1045.9,1.52
11,148,243.2,279.2,1.15
11,161,954.0,1301.3,1.36
11,162,1016.0,1353.1,1.33
11,167,859.0,1343.3,1.56
11,175,806.7,1195.9,1.48
11,176,985.2,1745.8,1.77
11,177,1226.4,1651.6,1.35
11,178,1302.7,1731.5,1.33
11,188,193.0,198.1,1.03
11,189,141.8,176.1,1.24
11,192,96.3,129.5,1.34
11,195,834.7,1059.1,1.27
11,197,2029.9,2423.2,1.19
11,203,759.9,1002.4,1.32
11,204,903.4,1316.4,1.46
11,207,194.2,236.3,1.22
11,208,180.8,236.3,1.31
11,209,217.3,280.6,1.29
11,213,663.3,1321.2,1.99
11,215,765.5,928.4,1.21
11,216,249.2,340.7,1.37
11,221,338.2,461.1,1.36
11,224,1583.4,1939.6,1.22
11,227,459.9,503.5,1.09
11,231,397.1,458.0,1.15
11,232,1980.1,2388.6,1.21
11,235,930.2,1212.2,1.30
11,248,640.3,875.1,1.37
11,260,645.2,915.6,1.42
11,262,601.1,752.0,1.25
11,263,365.9,610.5,1.67
11,271,115.3,129.5,1.12
11,273,939.0,1225.4,1.31
11,274,988.6,1343.1,1.36
11,275,811.8,1120.7,1.38
11,276,82.0,285.9,3.49
11,277,668.1,1170.8,1.75
11,278,1758.4,2161.6,1.23
11,279,1668.8,2165.6,1.30
11,280,1574.8,1939.6,1.23
11,283,543.1,829.6,1.53
11,284,434.2,519.7,1.20
11,286,269.4,375.0,1.39
11,288,807.2,1180.8,1.46
11,289,819.1,1180.8,1.44
11,291,717.2,1030.0,1.44
11,293,787.8,1123.8,1.43
11,294,859.8,1182.9,1.38
11,295,777.6,1249.4,1.61
11,299,796.4,1007.2,1.26
11,304,734.8,1228.1,1.67
11,310,859.4,1085.0,1.26
11,312,1029.6,1293.4,1.26
11,328,1470.4,1906.8,1.30
11,346,157.7,189.0,1.20
11,347,36.7,72.8,1.98
11,350,986.9,1728.8,1.75
11,354,99.2,236.1,2.38
11,358,824.2,1009.4,1.22
11,361,904.7,1136.6,1.26
11,362,608.6,923.8,1.52
11,363,804.8,1074.2,1.33
11,364,774.9,1009.0,1.30
11,366,642.5,889.0,1.38
11,378,902.2,1136.6,1.26
11,379,896.7,1127.7,1.26
11,380,709.6,1009.8,1.42
11,381,398.6,458.0,1.15
11,382,418.2,519.7,1.24
11,384,832.9,984.8,1.18
11,385,834.4,1009.4,1.21
11,389,736.0,1264.6,1.72
11,395,348.0,461.1,1.32
11,420,641.3,889.0,1.39
12,13,762.9,1091.8,1.43
12,14,269.0,455.5,1.69
12,15,723.4,1043.0,1.44
12,18,324.3,582.3,1.80
12,20,721.5,1043.0,1.45
12,27,187.4,308.0,1.64
12,32,346.9,451.4,1.30
12,38,272.4,362.6,1.33
12,39,267.9,353.7,1.32
12,40,290.0,487.6,1.68
12,41,282.8,487.6,1.72
12,45,678.3,922.9,1.36
12,46,240.3,406.6,1.69
12,47,536.1,845.7,1.58
12,48,649.8,822.0,1.26
12,50,715.2,1067.2,1.49
12,52,817.0,1167.4,1.43
12,54,339.7,451.4,1.33
12,56,199.3,214.8,1.08
12,58,438.6,715.0,1.63
12,64,557.1,708.4,1.27
12,76,620.4,969.8,1.56
12,77,508.4,687.5,1.35
12,78,258.4,308.1,1.19
12,81,326.7,507.7,1.55
12,82,764.6,1091.8,1.43
12,86,190.8,177.8,0.93
12,96,273.9,440.1,1.61
12,120,200.8,177.8,0.89
12,121,203.0,294.1,1.45
12,128,509.7,759.8,1.49
12,132,463.2,633.3,1.37
12,134,214.4,327.6,1.53
12,136,293.9,455.3,1.55
12,137,250.5,408.1,1.63
12,139,306.3,507.7,1.66
12,143,397.4,634.7,1.60
12,144,374.0,688.8,1.84
12,145,288.8,487.6,1.69
12,148,669.6,771.9,1.15
12,161,927.8,1383.7,1.49
12,162,1020.1,1435.5,1.41
12,167,297.5,470.1,1.58
12,175,219.9,322.7,1.47
12,176,764.9,1405.1,1.84
12,177,827.3,1310.9,1.58
12,178,893.5,1390.8,1.56
12,188,646.0,800.0,1.24
12,189,633.8,822.0,1.30
12,192,646.6,866.3,1.34
12,195,228.7,285.1,1.25
12,197,1515.9,2082.5,1.37
12,203,185.3,228.4,1.23
12,204,290.9,542.4,1.86
12,207,677.7,838.2,1.24
12,208,659.1,838.2,1.27
12,209,665.7,773.3,1.16
12,213,570.1,852.9,1.50
12,215,696.9,1010.8,1.45
12,216,489.5,658.5,1.35
12,221,528.7,708.4,1.34
12,224,931.1,1164.2,1.25
12,227,748.9,968.4,1.29
12,231,715.5,922.9,1.29
12,232,1446.5,2047.9,1.42
12,235,277.9,436.8,1.57
12,248,207.8,294.1,1.42
12,260,73.3,80.2,1.09
12,262,617.5,834.4,1.35
12,263,387.9,575.6,1.48
12,271,649.5,866.3,1.33
12,273,346.5,451.4,1.30
12,274,445.0,569.1,1.28
12,275,282.6,346.7,1.23
12,276,697.5,1151.5,1.65
12,277,430.2,702.5,1.63
12,278,1108.8,1386.2,1.25
12,279,1017.0,1390.2,1.37
12,280,922.8,1164.2,1.26
12,283,578.3,912.0,1.58
12,284,532.9,845.7,1.59
12,286,480.0,1094.0,2.28
12,288,243.3,392.2,1.61
12,289,251.5,392.2,1.56
12,291,272.7,456.8,1.68
12,293,327.8,456.2,1.39
12,294,332.4,515.3,1.55
12,295,439.9,665.4,1.51
12,299,596.6,956.2,1.60
12,304,492.2,759.8,1.54
12,310,823.1,1167.4,1.42
12,312,390.3,518.0,1.33
12,328,818.5,1131.4,1.38
12,346,612.0,834.9,1.36
12,347,658.6,971.8,1.48
12,350,779.1,1388.1,1.78
12,354,623.4,1101.7,1.77
12,358,762.9,1091.8,1.43
12,361,273.9,362.6,1.32
12,362,269.0,455.5,1.69
12,363,779.8,1156.6,1.48
12,364,729.6,1091.4,1.50
12,366,183.9,308.0,1.67
12,378,272.4,362.6,1.33
12,379,267.9,353.7,1.32
12,380,245.2,436.6,1.78
12,381,678.3,922.9,1.36
12,382,536.1,845.7,1.58
12,384,715.2,1067.2,1.49
12,385,759.7,1091.8,1.44
12,389,438.6,715.0,1.63
12,395,557.1,708.4,1.27
12,420,178.4,308.0,1.73
13,14,494.1,921.1,1.86
13,15,39.7,48.8,1.23
13,18,747.2,937.2,1.25
13,20,42.2,48.8,1.16
13,27,924.5,1188.3,1.29
13,32,1072.3,1363.9,1.27
13,38,980.9,1275.1,1.30
13,39,978.9,1267.3,1.29
13,40,506.1,797.9,1.58
13,41,508.6,797.9,1.57
13,45,1148.3,1337.2,1.16
13,46,589.8,948.2,1.61
13,47,410.5,528.9,1.29
13,48,938.5,1055.3,1.12
13,50,71.6,114.4,1.60
13,52,54.3,75.6,1.39
13,54,1071.5,1363.9,1.27
13,56,959.0,1269.6,1.32
13,58,344.6,558.6,1.62
13,64,1040.5,1273.1,1.22
13,76,1124.3,1619.3,1.44
13,77,1076.8,1416.8,1.32
13,78,983.7,1188.4,1.21
13,81,471.7,916.0,1.94
13,86,951.3,1232.6,1.30
13,96,531.1,845.4,1.59
13,120,963.7,1232.6,1.28
13,121,952.8,1174.4,1.23
13,128,269.7,659.1,2.44
13,132,311.4,721.6,2.32
13,134,597.3,764.2,1.28
13,136,541.0,996.9,1.84
13,137,532.8,949.7,1.78
13,139,484.6,916.0,1.89
13,143,820.4,989.6,1.21
13,144,746.2,1043.7,1.40
13,145,487.4,797.9,1.64
13,148,1031.3,1158.4,1.12
13,161,165.8,291.9,1.76
13,162,257.3,343.7,1.34
13,167,637.3,911.3,1.43
13,175,669.6,952.9,1.42
13,176,225.3,1005.4,4.46
13,177,555.6,911.2,1.64
13,178,621.4,991.1,1.59
13,188,980.5,1077.3,1.10
13,189,932.9,1055.3,1.13
13,192,903.0,1008.7,1.12
13,195,971.2,1335.9,1.38
13,197,1368.2,1682.8,1.23
13,203,946.0,1283.2,1.36
13,204,1016.5,1454.9,1.43
13,207,996.9,1115.5,1.12
13,208,977.8,1115.5,1.14
13,209,1009.6,1159.8,1.15
13,213,202.7,936.6,4.62
13,215,69.4,81.0,1.17
13,216,905.8,1137.2,1.26
13,221,1013.1,1273.1,1.26
13,224,1360.4,1813.7,1.33
13,227,1224.9,1382.7,1.13
13,231,1165.9,1337.2,1.15
13,232,1349.3,1648.2,1.22
13,235,907.8,1225.9,1.35
13,248,945.7,1174.4,1.24
13,260,828.1,1113.0,1.34
13,262,224.5,288.6,1.29
13,263,538.8,856.6,1.59
13,271,920.2,1008.7,1.10
13,273,1079.9,1363.9,1.26
13,274,1193.8,1481.6,1.24
13,275,1044.6,1401.5,1.34
13,276,785.4,953.5,1.21
13,277,333.4,652.4,1.96
13,278,1471.9,2035.7,1.38
13,279,1424.2,2039.7,1.43
13,280,1346.7,1813.7,1.35
13,283,284.8,406.8,1.43
13,284,395.9,528.9,1.34
13,286,579.8,777.2,1.34
13,288,637.8,937.8,1.47
13,289,643.0,937.8,1.46
13,291,518.9,828.7,1.60
13,293,510.7,718.2,1.41
13,294,589.4,777.3,1.32
13,295,369.3,509.0,1.38
13,299,193.1,266.8,1.38
13,304,283.1,659.1,2.33
13,310,60.8,75.6,1.24
13,312,1050.6,1390.4,1.32
13,328,1320.8,1780.9,1.35
13,346,931.7,1052.3,1.13
13,347,858.4,985.4,1.15
13,350,214.6,988.4,4.61
13,354,726.0,884.9,1.22
