destination_id,name,category,longitude,latitude,nearest_node_id,snap_distance_km,source_id,wheelchair,website
D0001,Unnamed building (way/152918920),building,12.5035115,41.8853232,N12d5031968_41d8855088,0.033236,way/152918920,,
D0002,Archivio del Vicariato di Roma,building,12.5031829,41.8852518,N12d5030838_41d8852556,0.008215,way/200344178,,
D0003,"Dipartimento di Ingegneria Civile, Edile e Ambientale",amenity,12.4943597,41.8933980,N12d4945264_41d8933124,0.016763,way/201884699,yes,https://www.dicea.uniroma1.it/
D0004,Unnamed building (way/201884700),building,12.4942277,41.8931867,N12d4941856_41d8932670,0.009585,way/201884700,,
D0005,Unnamed building (way/202374926),building,12.4933988,41.8927104,N12d4933726_41d8928385,0.014408,way/202374926,,
D0006,Unnamed building (way/365837395),building,12.4940206,41.8930161,N12d4940249_41d8931266,0.012292,way/365837395,,
D0007,"Dipartimento di Ingegneria dell'Informazione, Elettronica e Telecomunicazioni",building,12.4939335,41.8935888,N12d4940633_41d8934844,0.015817,way/582588483,,https://web.uniroma1.it/dip_diet/
D0008,Unnamed building (way/596126268),building,12.4942418,41.8938152,N12d4943549_41d8938091,0.009386,way/596126268,,
D0009,Unnamed building (way/596126269),building,12.4941033,41.8937186,N12d4941819_41d8935767,0.017067,way/596126269,,
D0010,Unnamed building (way/670442149),building,12.4939495,41.8938539,N12d4938787_41d8937940,0.008872,way/670442149,,
D0011,Unnamed building (way/670442150),building,12.4939169,41.8938216,N12d4938787_41d8937940,0.004406,way/670442150,,
D0012,Unnamed building (way/670442201),building,12.4936180,41.8940322,N12d4937623_41d8941559,0.018217,way/670442201,,
D0013,Unnamed building (way/671574699),building,12.4938283,41.8940012,N12d4938887_41d8941514,0.017434,way/671574699,,
D0014,Mosè,tourism,12.4934024,41.8938825,N12d4933381_41d8941052,0.025329,node/356935276,,
D0015,Bocca della Verità,tourism,12.4815441,41.8882567,N12d4815175_41d8883198,0.007354,node/497186177,limited,https://www.romasegreta.it/ripa/piazza-della-bocca-della-verita.html
D0016,Castore,tourism,12.4826017,41.8935503,N12d4826902_41d8934781,0.010868,node/1379490416,,
D0017,Cola di Rienzo,tourism,12.4823250,41.8937198,N12d4821531_41d8936016,0.019370,node/1379490417,,
D0018,Polluce,tourism,12.4825056,41.8934432,N12d4824119_41d8934097,0.008604,node/1379490422,,
D0019,Biblioteca di Archeologia e Storia dell'Arte,amenity,12.4817474,41.8963542,N12d4818374_41d8964898,0.016818,node/1391511097,,http://www.archeologica.librari.beniculturali.it/
D0020,"Statua ""parlante"" Madama Lucrezia",tourism,12.4813123,41.8956770,N12d4812996_41d8956898,0.001769,node/1391514187,,
D0021,Biblioteca della Società geografica italiana,amenity,12.4943191,41.8842572,N12d4940930_41d8842247,0.019063,node/3310964446,,
D0022,Biblioteca dell'Ufficio di Statistica,amenity,12.4819828,41.8877240,N12d4818392_41d8876994,0.012198,node/3357511815,,
