edge_id,from_node_id,to_node_id,distance_km,travel_time_min,highway,surface,access,oneway,lit,wheelchair,routable_walk,source_id
Eway/4245352_0,N12d4874295_41d8931392,N12d4873401_41d8931922,0.009460,0.11,service,sett,,yes,yes,,yes,way/4245352
Eway/4245352_1,N12d4873401_41d8931922,N12d4869986_41d8933961,0.036236,0.43,service,sett,,yes,yes,,yes,way/4245352
Eway/4247946_0,N12d4874295_41d8931392,N12d4875459_41d8931902,0.011180,0.13,service,asphalt,,,yes,,yes,way/4247946
Eway/4247946_0_R,N12d4875459_41d8931902,N12d4874295_41d8931392,0.011180,0.13,service,asphalt,,,yes,,yes,way/4247946
Eway/4247946_1,N12d4875459_41d8931902,N12d4875941_41d8932094,0.004525,0.05,service,asphalt,,,yes,,yes,way/4247946
Eway/4247946_1_R,N12d4875941_41d8932094,N12d4875459_41d8931902,0.004525,0.05,service,asphalt,,,yes,,yes,way/4247946
Eway/4247946_2,N12d4875941_41d8932094,N12d4878129_41d8932891,0.020163,0.24,service,asphalt,,,yes,,yes,way/4247946
Eway/4247946_2_R,N12d4878129_41d8932891,N12d4875941_41d8932094,0.020163,0.24,service,asphalt,,,yes,,yes,way/4247946
Eway/4949501_0,N12d4911162_41d8898103,N12d4909594_41d8898325,0.013212,0.16,pedestrian,unhewn_cobblestone,,,yes,,yes,way/4949501
Eway/4949501_0_R,N12d4909594_41d8898325,N12d4911162_41d8898103,0.013212,0.16,pedestrian,unhewn_cobblestone,,,yes,,yes,way/4949501
Eway/4949501_1,N12d4909594_41d8898325,N12d4903769_41d8899299,0.049419,0.59,pedestrian,unhewn_cobblestone,,,yes,,yes,way/4949501
Eway/4949501_1_R,N12d4903769_41d8899299,N12d4909594_41d8898325,0.049419,0.59,pedestrian,unhewn_cobblestone,,,yes,,yes,way/4949501
Eway/4951341_0,N12d4842951_41d8918099,N12d4843399_41d8918080,0.003714,0.04,pedestrian,unhewn_cobblestone,,,,,yes,way/4951341
Eway/4951341_0_R,N12d4843399_41d8918080,N12d4842951_41d8918099,0.003714,0.04,pedestrian,unhewn_cobblestone,,,,,yes,way/4951341
Eway/4951341_1,N12d4843399_41d8918080,N12d4844285_41d8917906,0.007585,0.09,pedestrian,unhewn_cobblestone,,,,,yes,way/4951341
Eway/4951341_1_R,N12d4844285_41d8917906,N12d4843399_41d8918080,0.007585,0.09,pedestrian,unhewn_cobblestone,,,,,yes,way/4951341
Eway/4951341_2,N12d4844285_41d8917906,N12d4848347_41d8916547,0.036863,0.44,pedestrian,unhewn_cobblestone,,,,,yes,way/4951341
Eway/4951341_2_R,N12d4848347_41d8916547,N12d4844285_41d8917906,0.036863,0.44,pedestrian,unhewn_cobblestone,,,,,yes,way/4951341
Eway/4951341_3,N12d4848347_41d8916547,N12d4852492_41d8915193,0.037468,0.45,pedestrian,unhewn_cobblestone,,,,,yes,way/4951341
Eway/4951341_3_R,N12d4852492_41d8915193,N12d4848347_41d8916547,0.037468,0.45,pedestrian,unhewn_cobblestone,,,,,yes,way/4951341
Eway/4951344_0,N12d4856635_41d8919735,N12d4859059_41d8922983,0.041315,0.50,pedestrian,unhewn_cobblestone,,,,,yes,way/4951344
Eway/4951344_0_R,N12d4859059_41d8922983,N12d4856635_41d8919735,0.041315,0.50,pedestrian,unhewn_cobblestone,,,,,yes,way/4951344
Eway/4951345_0,N12d4876530_41d8913623,N12d4876976_41d8913470,0.004065,0.05,footway,,,,,,yes,way/4951345
Eway/4951345_0_R,N12d4876976_41d8913470,N12d4876530_41d8913623,0.004065,0.05,footway,,,,,,yes,way/4951345
Eway/4951345_1,N12d4876976_41d8913470,N12d4878701_41d8912701,0.016643,0.20,footway,,,,,,yes,way/4951345
Eway/4951345_1_R,N12d4878701_41d8912701,N12d4876976_41d8913470,0.016643,0.20,footway,,,,,,yes,way/4951345
Eway/4951345_2,N12d4878701_41d8912701,N12d4879274_41d8912440,0.005560,0.07,footway,,,,,,yes,way/4951345
Eway/4951345_2_R,N12d4879274_41d8912440,N12d4878701_41d8912701,0.005560,0.07,footway,,,,,,yes,way/4951345
Eway/4951345_3,N12d4879274_41d8912440,N12d4880100_41d8912188,0.007389,0.09,footway,,,,,,yes,way/4951345
Eway/4951345_3_R,N12d4880100_41d8912188,N12d4879274_41d8912440,0.007389,0.09,footway,,,,,,yes,way/4951345
Eway/4951345_4,N12d4880100_41d8912188,N12d4880567_41d8912116,0.003948,0.05,footway,,,,,,yes,way/4951345
Eway/4951345_4_R,N12d4880567_41d8912116,N12d4880100_41d8912188,0.003948,0.05,footway,,,,,,yes,way/4951345
Eway/4951345_5,N12d4880567_41d8912116,N12d4881140_41d8912102,0.004746,0.06,footway,,,,,,yes,way/4951345
Eway/4951345_5_R,N12d4881140_41d8912102,N12d4880567_41d8912116,0.004746,0.06,footway,,,,,,yes,way/4951345
Eway/4951345_6,N12d4881140_41d8912102,N12d4881700_41d8912244,0.004897,0.06,footway,,,,,,yes,way/4951345
Eway/4951345_6_R,N12d4881700_41d8912244,N12d4881140_41d8912102,0.004897,0.06,footway,,,,,,yes,way/4951345
