node_id,longitude,latitude,node_type,source_id
N12d4796945_41d8905942,12.4796945,41.8905942,road_vertex,way/1216287334
N12d4796963_41d8905625,12.4796963,41.8905625,road_vertex,way/1216287334
N12d4797073_41d8905308,12.4797073,41.8905308,road_vertex,way/1216287334
N12d4797178_41d8906177,12.4797178,41.8906177,road_vertex,way/1216287334
N12d4798244_41d8906419,12.4798244,41.8906419,road_vertex,way/1216287334
N12d4799608_41d8901664,12.4799608,41.8901664,road_vertex,way/1216287334
N12d4799641_41d8828274,12.4799641,41.8828274,road_vertex,way/24534435
N12d4800076_41d8901444,12.4800076,41.8901444,road_vertex,way/1216287334
N12d4800289_41d8853461,12.4800289,41.8853461,road_vertex,way/24534753
N12d4800346_41d8841271,12.4800346,41.8841271,road_vertex,way/24468733
N12d4800355_41d8901418,12.4800355,41.8901418,road_vertex,way/1216287334
N12d4801313_41d8936403,12.4801313,41.8936403,road_vertex,way/125226016
N12d4801356_41d8949619,12.4801356,41.8949619,road_vertex,way/218949681
N12d4801619_41d8942877,12.4801619,41.8942877,road_vertex,way/41156437
N12d4802084_41d8843736,12.4802084,41.8843736,road_vertex,way/24534751
N12d4802112_41d8897696,12.4802112,41.8897696,road_vertex,way/1216287334
N12d4802145_41d8963353,12.4802145,41.8963353,road_vertex,way/36780069
N12d4802472_41d8896296,12.4802472,41.8896296,road_vertex,way/1216287334
N12d4802534_41d8963164,12.4802534,41.8963164,road_vertex,way/140186878
N12d4802548_41d8935728,12.4802548,41.8935728,road_vertex,way/125226016
N12d4802563_41d8943063,12.4802563,41.8943063,road_vertex,way/41156437
N12d4802591_41d8963008,12.4802591,41.8963008,road_vertex,way/140186878
N12d4802644_41d8949812,12.4802644,41.8949812,road_vertex,way/218949681
N12d4802727_41d8844189,12.4802727,41.8844189,road_vertex,way/24534751
N12d4802795_41d8843206,12.4802795,41.8843206,road_vertex,way/24468852
N12d4802863_41d8895091,12.4802863,41.8895091,road_vertex,way/1216287334
N12d4803021_41d8948869,12.4803021,41.8948869,road_vertex,way/1137951732
N12d4803024_41d8949037,12.4803024,41.8949037,road_vertex,way/1137951732
N12d4803038_41d8948782,12.4803038,41.8948782,road_vertex,way/1137951732
N12d4803038_41d8949176,12.4803038,41.8949176,road_vertex,way/1137951732
N12d4803094_41d8949313,12.4803094,41.8949313,road_vertex,way/1137951732
N12d4803099_41d8948716,12.4803099,41.8948716,road_vertex,way/1137951732
N12d4803109_41d8964064,12.4803109,41.8964064,road_vertex,way/1197185105
N12d4803146_41d8949400,12.4803146,41.8949400,road_vertex,way/1137951732
N12d4803153_41d8851826,12.4803153,41.8851826,road_vertex,way/24534753
N12d4803170_41d8935865,12.4803170,41.8935865,road_vertex,way/125226016
N12d4803199_41d8949445,12.4803199,41.8949445,road_vertex,way/1137951732
N12d4803302_41d8949479,12.4803302,41.8949479,road_vertex,way/1137951732
N12d4803305_41d8963588,12.4803305,41.8963588,road_vertex,way/36780069
N12d4803357_41d8893744,12.4803357,41.8893744,road_vertex,way/1216287334
N12d4803413_41d8963324,12.4803413,41.8963324,road_vertex,way/140186878
