id,name,lat,lon,type
1,SG-SSB,5.6478457,-0.1789641,atm
2,Total,5.6474920,-0.1789740,fuel
3,Legon Police Station,5.6506714,-0.1795850,police
4,Institute For Environment & Sanitation Studies,5.6535146,-0.1819874,college
5,,5.6476845,-0.1816696,fuel
6,Ecobank,5.6519994,-0.1884850,bank
7,Republic Bank,5.6432313,-0.1849777,bank
8,CalBank,5.6383953,-0.1707045,bank
9,,5.6450876,-0.1898663,restaurant
10,Bush Canteen,5.6480697,-0.1809222,restaurant
11,University Fire Station Legon,5.6484568,-0.1812207,fire_station
12,Republic Bank,5.6493371,-0.1870528,atm
13,CalBank,5.6425946,-0.1857784,atm
14,All Banks,5.6469774,-0.1865162,atm
15,Access Bank,5.6429499,-0.1858097,bank
16,Consolidated Bank Ghana,5.6675070,-0.1787102,bank
17,Koko Joint,5.6512819,-0.1796424,fast_food
18,West Africa Centre for Crop Improvement,5.6491112,-0.1841306,school
19,UMB,5.6595227,-0.1654528,bank
20,Prudential Bank,5.6429477,-0.1859194,bank
21,Stanbic Bank,5.6600823,-0.1774304,bank
22,Republic Bank,5.6429518,-0.1857129,bank
23,,5.6500789,-0.1856612,fountain
24,Ernest Chemist,5.6531812,-0.1791792,pharmacy
25,Standard Chartered,5.6352667,-0.1722766,bank
26,Ecobank,5.6678814,-0.1881261,atm
27,Absa,5.6508864,-0.1863873,bank
28,Legon Hall Barbeque Joint,5.6487354,-0.1895287,restaurant
29,GCB Bank,5.6519986,-0.1795931,bank
30,,5.6480385,-0.1790180,pharmacy
31,Volta Café,5.6516613,-0.1894537,internet_cafe
32,Zenith,5.6516214,-0.1891882,atm
33,,5.6501670,-0.1857845,bench
34,,5.6494717,-0.1855485,bench
35,,5.6494697,-0.1857711,bench
36,,5.6496605,-0.1855519,bench
37,,5.6496505,-0.1857631,bench
38,Fidelity Bank,5.6508028,-0.1890253,atm
39,Prudential Bank,5.6508039,-0.1889738,atm
40,GCB Bank,5.6467810,-0.1875734,atm
41,Zenith Bank,5.6468339,-0.1875034,atm
42,Access Bank,5.6600709,-0.1652768,atm
43,Radio Univers,5.6517917,-0.1809960,studio
44,School of Communication Studies,5.6517512,-0.1812907,school
45,,5.6520261,-0.1815507,bench
46,Benzola Supermarket and Mini Restaurant,5.6478885,-0.1854412,restaurant
47,,5.6457368,-0.1838311,parking
48,School of Performing Art,5.6496935,-0.1811913,school
49,,5.6460071,-0.1870441,fountain
50,,5.6429471,-0.1863194,parking
51,Consolidated Bank Ghana,5.6430552,-0.1856608,bank
52,Baba's Special Kebab,5.6421100,-0.1857203,fast_food
53,Physics,5.6519893,-0.1858952,college
54,Mobile Money,5.6516696,-0.1890355,payment_centre
55,,5.6529295,-0.1870426,fountain
56,Balme Library,5.6511292,-0.1870251,fountain
57,,5.6500722,-0.1854587,restaurant
58,,5.6453931,-0.1871163,restaurant
59,Commonwealth Dinning hall,5.6513099,-0.1925829,restaurant
60,Food vendors,5.6510658,-0.1921150,marketplace
61,small food vendor,5.6484043,-0.1854504,restaurant
62,,5.6482875,-0.1799882,waste_basket
63,,5.6512161,-0.1836098,parking
64,,5.6513422,-0.1824389,waste_basket
65,DHL,5.6480878,-0.1790256,post_office
66,,5.6488877,-0.1796220,waste_basket
67,Pent Food Court,5.6562040,-0.1806730,restaurant
68,Department of Plant and Environmental Biology,5.6536902,-0.1865526,university
69,Department of Mathematics,5.6538762,-0.1844130,school
70,Cedi Conference Centre,5.6516029,-0.1882722,community_centre
71,University of Ghana Business School,5.6528087,-0.1886270,college
72,Ecobank,5.6595372,-0.1676129,atm
73,School of Engineering Sciences,5.6555123,-0.1830511,college
74,Amphitheatre Grounds,5.6506396,-0.1937105,theatre
75,Muslim Prayer Lounge,5.6507792,-0.1933811,place_of_worship
76,Commonwealth Hall Chapel,5.6500788,-0.1926101,place_of_worship
77,Joepharma Pharmacy,5.6504151,-0.1915174,pharmacy
78,Department of Physics,5.6514369,-0.1860522,university
79,Hall Library,5.6464316,-0.1872899,library
80,Department of Animal Biology and Conservation Science,5.6537135,-0.1877829,university
81,Mishvet Veterinary Home Call Services,5.6468285,-0.1855157,veterinary
82,Night Market,5.6425034,-0.1862823,marketplace
83,GIS Lab A2,5.6509856,-0.1834970,fixme
84,GCB Bank ATM,5.6510275,-0.1875888,atm
85,Commonwealth Hall Library,5.6506539,-0.1935633,library
86,Balme Library Fountain,5.6510528,-0.1870679,fountain
87,Economics Department,5.6511659,-0.1874726,fixme
88,Standard Chartered ATM,5.6678701,-0.1881448,atm
89,,5.6519751,-0.1797098,atm
90,,5.6534707,-0.1830767,parking
91,ADB,5.6431960,-0.1848960,bank
92,,5.6521177,-0.1870887,school
93,,5.6498848,-0.1874828,school
94,Noguchi Memorial Institute for Medical Research,5.6342209,-0.1833394,unknown
95,Home Science Annex,5.6528104,-0.1845172,unknown
96,SRC Union Building,5.6469645,-0.1877165,unknown
97,ECOWAS Coastal & Marine Resources,5.6527948,-0.1839535,unknown
98,Volta Hall Annex,5.6523651,-0.1895749,unknown
99,Jubilee Hall,5.6404610,-0.1862615,unknown
100,Alexander Kwapong Hall,5.6368753,-0.1857340,unknown
101,Jean Nelson Aka Hall,5.6353399,-0.1884752,unknown
102,Dr. Hilla Limann Hall,5.6374859,-0.1846474,unknown
103,Elizabeth Frances Sey Hall,5.6359372,-0.1873718,unknown
104,International House,5.6536183,-0.1819735,unknown
105,University of Ghana banking square,5.6427826,-0.1856730,unknown
106,Maison Francais,5.6493191,-0.1875420,unknown
107,The Balme Library,5.6520209,-0.1870796,library
108,University of Ghana Small Animal Teaching Hospital,5.6666772,-0.1858104,veterinary
109,School of Engineering Sciences,5.6555590,-0.1830122,unknown
110,Larway Oraca Building,5.6535634,-0.1893884,unknown
111,School of Technology,5.6351050,-0.2012336,unknown
112,David Andoh Block,5.6354990,-0.2009418,unknown
113,Governors' Block,5.6360304,-0.2007476,unknown
114,University of Ghana Computing Systems (UGCS),5.6521873,-0.1880646,it
115,Dep't of History,5.6503540,-0.1897013,unknown
116,Dep't of History,5.6502740,-0.1894478,unknown
117,Dep't of Sociology,5.6501002,-0.1901238,unknown
118,University of Ghana Hospital,5.6517246,-0.1781069,hospital
119,Department of Nutrition and Food Sciences,5.6536336,-0.1887224,unknown
120,"Department of Economics, University of Ghana",5.6511077,-0.1874111,unknown
121,University of Ghana Bookshop,5.6511190,-0.1866546,unknown
122,"International Students Hostel 1, ISH 1",5.6397693,-0.1851371,unknown
123,"International Students Hostel 2, ISH 2",5.6415466,-0.1860872,unknown
124,"LECIAD, Legon",5.6521640,-0.1842912,unknown
125,"West African Centre for Cell Biology of Infectious Pathogens, WACCBIP",5.6547847,-0.1895440,college
126,"Central Cafeteria, CC",5.6469687,-0.1870849,fast_food
127,Valco Trust Hostel Phase 2,5.6442684,-0.1868802,unknown
128,Valco Trust Hostel Phase 1,5.6447561,-0.1868834,unknown
129,"James Quartey Building, JQB",5.6523051,-0.1819699,unknown
130,K Folson Building,5.6553671,-0.1867331,unknown
131,Anglican Church Legon Hall,5.6560176,-0.1904775,unknown
132,Mensah Sarbah Annex D,5.6453944,-0.1857008,unknown
133,Mensah Sarbah Annex B,5.6448992,-0.1854696,unknown
134,Akuafo Hall Annex A,5.6479653,-0.1856917,unknown
135,Mensah Sarbah Annex C,5.6453805,-0.1852587,unknown
136,Akuafo Hall Annex C,5.6474276,-0.1852158,unknown
137,Akuafo Hall Annex D,5.6473843,-0.1859247,unknown
138,Mensah Sarbah Annex A,5.6459267,-0.1854758,unknown
139,Akuafo Hall Annex B,5.6469517,-0.1856692,unknown
140,Mensah Sarbah Dining Hall,5.6453777,-0.1870763,restaurant
141,Sarbah Hall Main,5.6460067,-0.1875588,unknown
142,Administration and Porters' Lodge,5.6462302,-0.1870558,yes
143,Department of Agriculture Economics and Agribusiness,5.6496061,-0.1834720,unknown
144,Biotechnology Centre,5.6489761,-0.1836925,unknown
145,University of Ghana,5.6467437,-0.1871994,university
146,"Chemistry Department, University of Ghana",5.6520024,-0.1856885,unknown
147,Volta Hall,5.6517709,-0.1895365,unknown
148,Legon Main Entrance,5.6506424,-0.1811450,unknown
149,GCB Lecture Building,5.6549613,-0.1883539,unknown
150,Psychology Department,5.6550778,-0.1867541,unknown
151,Information Studies Labs,5.6553712,-0.1874179,unknown
152,N Block,5.6547165,-0.1870592,unknown
153,Information Studies Department,5.6552376,-0.1870638,unknown
154,RIPS building,5.6545122,-0.1841246,unknown
155,Political Science Department,5.6548594,-0.1864065,unknown
156,School of Social Science,5.6550638,-0.1873306,unknown
157,ISSER Building,5.6544076,-0.1844338,unknown
158,Mathematics Dept,5.6539165,-0.1844604,unknown
159,Presbyterian Boys' Senior High School,5.6637866,-0.1728405,school
160,College of Health Sciences,5.6370159,-0.1829064,college
161,International Students Hostel Car Park 1,5.6411078,-0.1856695,parking
162,International Students Hostel Car Park 2,5.6403138,-0.1853865,parking
163,Chemistry Department Extension,5.6529204,-0.1856785,unknown
164,Soil Science,5.6501238,-0.1847996,unknown
165,Anglican Church- Main Church,5.6565033,-0.1903343,unknown
166,"Department of Geography and Resource Development, Legon",5.6509774,-0.1832998,unknown
167,Legon Hall Annex C (Graduate Hostel),5.6474034,-0.1889114,unknown
168,"College of Agric and Consumer Science, Legon",5.6501434,-0.1837592,unknown
169,St. Thomas Aquinas Catholic Church,5.6547389,-0.1903462,place_of_worship
170,Earth Science,5.6511055,-0.1846376,unknown
171,School Of Nursing and Midwifery,5.6535189,-0.1900925,unknown
172,Legon Interdenominational Church,5.6556437,-0.1904962,unknown
173,"K. A. Busia Building, KAB",5.6528846,-0.1829526,unknown
174,Legon Hall Annex B,5.6469788,-0.1884928,unknown
175,Legon Hall Annex A,5.6479755,-0.1884946,unknown
176,University of Ghana Basic School,5.6425000,-0.1878121,school
177,Ayido Valley Flat Block A,5.6428935,-0.1907901,unknown
178,Ayido Valley Flat Block B,5.6425617,-0.1913941,unknown
179,Ayido Valley Flat Block C,5.6422228,-0.1919882,unknown
180,Ayido Valley Flat Block D,5.6420799,-0.1930397,unknown
181,Ayido Valley Flat Block E,5.6427179,-0.1928224,unknown
182,"Physics Department, University of Ghana",5.6510855,-0.1856901,unknown
183,"RSGIS Lab, Legon",5.6513090,-0.1835385,unknown
184,"Graduate School, Legon",5.6532335,-0.1907183,unknown
185,,5.6541227,-0.1837752,parking
186,,5.6523836,-0.1816245,parking
187,School of Law,5.6542111,-0.1831612,unknown
188,J.H. Kwabena Nketia Archives,5.6501912,-0.1812784,unknown
189,School of Performing Arts,5.6497264,-0.1813383,unknown
190,Statistics,5.6540123,-0.1840856,unknown
191,Maths Dept,5.6538571,-0.1838395,unknown
192,Dance practical room,5.6493232,-0.1812096,unknown
193,Social Work Department,5.6549353,-0.1876084,unknown
194,NNB Washroom,5.6561618,-0.1879508,toilets
195,"Faculty of Arts, Languages",5.6509498,-0.1883360,unknown
196,UGBS extention,5.6527842,-0.1880690,unknown
197,Florence A.Dolphyne Charlets,5.6412304,-0.1980666,unknown
198,,5.6519299,-0.1881279,parking
199,,5.6529159,-0.1877251,parking
200,,5.6529245,-0.1863661,parking
201,Kuffour Quadrangle,5.6529284,-0.1870485,fountain
202,Office of The Dean of Students,5.6513197,-0.1876040,unknown
203,Legon Post Office,5.6508996,-0.1876341,post_office
204,Volta Car Park,5.6511889,-0.1889093,parking
205,Agric Science Extension,5.6497021,-0.1842235,unknown
206,office,5.6496809,-0.1809555,unknown
207,Ghana Dance Ensemble,5.6501876,-0.1809883,unknown
208,Ghana Dance Ensemble,5.6500810,-0.1811431,unknown
209,Ghana Dance Ensemble,5.6504095,-0.1811342,unknown
210,Ghana Institute of Management and Public Administration,5.6361440,-0.2021273,university
211,,5.6390070,-0.1815825,parking
212,University of Ghana Medical Center Limited,5.6318638,-0.1859247,hospital
213,Vikings Hostel,5.6444108,-0.1856251,unknown
214,African Studies Dept,5.6511184,-0.1819005,unknown
215,Banking Square Parking,5.6432149,-0.1857055,parking
216,Soil Science,5.6501438,-0.1827038,unknown
217,University of Ghana Sports Directorate,5.6397580,-0.1815233,unknown
218,office,5.6492324,-0.1807825,unknown
219,Office,5.6490988,-0.1811173,unknown
220,Archeology Lecturers Offices,5.6528384,-0.1811477,unknown
221,Geography Lecturers office,5.6511521,-0.1826368,unknown
