action,id,name,lat,lon,type,details
added,94,Noguchi Memorial Institute for Medical Research,5.6342209,-0.1833394,unknown,
added,95,Home Science Annex,5.6528104,-0.1845172,unknown,
added,96,SRC Union Building,5.6469645,-0.1877165,unknown,
added,97,ECOWAS Coastal & Marine Resources,5.6527948,-0.1839535,unknown,
added,98,Volta Hall Annex,5.6523651,-0.1895749,unknown,
added,99,Jubilee Hall,5.6404610,-0.1862615,unknown,
added,100,Alexander Kwapong Hall,5.6368753,-0.1857340,unknown,
added,101,Jean Nelson Aka Hall,5.6353399,-0.1884752,unknown,
added,102,Dr. Hilla Limann Hall,5.6374859,-0.1846474,unknown,
added,103,Elizabeth Frances Sey Hall,5.6359372,-0.1873718,unknown,
added,104,International House,5.6536183,-0.1819735,unknown,
added,105,University of Ghana banking square,5.6427826,-0.1856730,unknown,
added,106,Maison Francais,5.6493191,-0.1875420,unknown,
added,107,The Balme Library,5.6520209,-0.1870796,library,
added,108,University of Ghana Small Animal Teaching Hospital,5.6666772,-0.1858104,veterinary,
added,109,School of Engineering Sciences,5.6555590,-0.1830122,unknown,
added,110,Larway Oraca Building,5.6535634,-0.1893884,unknown,
added,111,School of Technology,5.6351050,-0.2012336,unknown,
added,112,David Andoh Block,5.6354990,-0.2009418,unknown,
added,113,Governors' Block,5.6360304,-0.2007476,unknown,
added,114,University of Ghana Computing Systems (UGCS),5.6521873,-0.1880646,it,
added,115,Dep't of History,5.6503540,-0.1897013,unknown,
added,116,Dep't of History,5.6502740,-0.1894478,unknown,
added,117,Dep't of Sociology,5.6501002,-0.1901238,unknown,
added,118,University of Ghana Hospital,5.6517246,-0.1781069,hospital,
added,119,Department of Nutrition and Food Sciences,5.6536336,-0.1887224,unknown,
added,120,"Department of Economics, University of Ghana",5.6511077,-0.1874111,unknown,
added,121,University of Ghana Bookshop,5.6511190,-0.1866546,unknown,
added,122,"International Students Hostel 1, ISH 1",5.6397693,-0.1851371,unknown,
added,123,"International Students Hostel 2, ISH 2",5.6415466,-0.1860872,unknown,
added,124,"LECIAD, Legon",5.6521640,-0.1842912,unknown,
added,125,"West African Centre for Cell Biology of Infectious Pathogens, WACCBIP",5.6547847,-0.1895440,college,
added,126,"Central Cafeteria, CC",5.6469687,-0.1870849,fast_food,
added,127,Valco Trust Hostel Phase 2,5.6442684,-0.1868802,unknown,
added,128,Valco Trust Hostel Phase 1,5.6447561,-0.1868834,unknown,
added,129,"James Quartey Building, JQB",5.6523051,-0.1819699,unknown,
added,130,K Folson Building,5.6553671,-0.1867331,unknown,
added,131,Anglican Church Legon Hall,5.6560176,-0.1904775,unknown,
added,132,Mensah Sarbah Annex D,5.6453944,-0.1857008,unknown,
added,133,Mensah Sarbah Annex B,5.6448992,-0.1854696,unknown,
added,134,Akuafo Hall Annex A,5.6479653,-0.1856917,unknown,
added,135,Mensah Sarbah Annex C,5.6453805,-0.1852587,unknown,
added,136,Akuafo Hall Annex C,5.6474276,-0.1852158,unknown,
added,137,Akuafo Hall Annex D,5.6473843,-0.1859247,unknown,
added,138,Mensah Sarbah Annex A,5.6459267,-0.1854758,unknown,
added,139,Akuafo Hall Annex B,5.6469517,-0.1856692,unknown,
added,140,Mensah Sarbah Dining Hall,5.6453777,-0.1870763,restaurant,
added,141,Sarbah Hall Main,5.6460067,-0.1875588,unknown,
added,142,Administration and Porters' Lodge,5.6462302,-0.1870558,yes,
added,143,Department of Agriculture Economics and Agribusiness,5.6496061,-0.1834720,unknown,
added,144,Biotechnology Centre,5.6489761,-0.1836925,unknown,
added,145,University of Ghana,5.6467437,-0.1871994,university,
added,146,"Chemistry Department, University of Ghana",5.6520024,-0.1856885,unknown,
added,147,Volta Hall,5.6517709,-0.1895365,unknown,
added,148,Legon Main Entrance,5.6506424,-0.1811450,unknown,
added,149,GCB Lecture Building,5.6549613,-0.1883539,unknown,
added,150,Psychology Department,5.6550778,-0.1867541,unknown,
added,151,Information Studies Labs,5.6553712,-0.1874179,unknown,
added,152,N Block,5.6547165,-0.1870592,unknown,
added,153,Information Studies Department,5.6552376,-0.1870638,unknown,
added,154,RIPS building,5.6545122,-0.1841246,unknown,
added,155,Political Science Department,5.6548594,-0.1864065,unknown,
added,156,School of Social Science,5.6550638,-0.1873306,unknown,
added,157,ISSER Building,5.6544076,-0.1844338,unknown,
added,158,Mathematics Dept,5.6539165,-0.1844604,unknown,
added,159,Presbyterian Boys' Senior High School,5.6637866,-0.1728405,school,
added,160,College of Health Sciences,5.6370159,-0.1829064,college,
added,161,International Students Hostel Car Park 1,5.6411078,-0.1856695,parking,
added,162,International Students Hostel Car Park 2,5.6403138,-0.1853865,parking,
added,163,Chemistry Department Extension,5.6529204,-0.1856785,unknown,
added,164,Soil Science,5.6501238,-0.1847996,unknown,
added,165,Anglican Church- Main Church,5.6565033,-0.1903343,unknown,
added,166,"Department of Geography and Resource Development, Legon",5.6509774,-0.1832998,unknown,
added,167,Legon Hall Annex C (Graduate Hostel),5.6474034,-0.1889114,unknown,
added,168,"College of Agric and Consumer Science, Legon",5.6501434,-0.1837592,unknown,
added,169,St. Thomas Aquinas Catholic Church,5.6547389,-0.1903462,place_of_worship,
added,170,Earth Science,5.6511055,-0.1846376,unknown,
added,171,School Of Nursing and Midwifery,5.6535189,-0.1900925,unknown,
added,172,Legon Interdenominational Church,5.6556437,-0.1904962,unknown,
added,173,"K. A. Busia Building, KAB",5.6528846,-0.1829526,unknown,
added,174,Legon Hall Annex B,5.6469788,-0.1884928,unknown,
added,175,Legon Hall Annex A,5.6479755,-0.1884946,unknown,
added,176,University of Ghana Basic School,5.6425000,-0.1878121,school,
added,177,Ayido Valley Flat Block A,5.6428935,-0.1907901,unknown,
added,178,Ayido Valley Flat Block B,5.6425617,-0.1913941,unknown,
added,179,Ayido Valley Flat Block C,5.6422228,-0.1919882,unknown,
added,180,Ayido Valley Flat Block D,5.6420799,-0.1930397,unknown,
added,181,Ayido Valley Flat Block E,5.6427179,-0.1928224,unknown,
added,182,"Physics Department, University of Ghana",5.6510855,-0.1856901,unknown,
added,183,"RSGIS Lab, Legon",5.6513090,-0.1835385,unknown,
added,184,"Graduate School, Legon",5.6532335,-0.1907183,unknown,
added,185,,5.6541227,-0.1837752,parking,
added,186,,5.6523836,-0.1816245,parking,
added,187,School of Law,5.6542111,-0.1831612,unknown,
added,188,J.H. Kwabena Nketia Archives,5.6501912,-0.1812784,unknown,
added,189,School of Performing Arts,5.6497264,-0.1813383,unknown,
added,190,Statistics,5.6540123,-0.1840856,unknown,
added,191,Maths Dept,5.6538571,-0.1838395,unknown,
added,192,Dance practical room,5.6493232,-0.1812096,unknown,
added,193,Social Work Department,5.6549353,-0.1876084,unknown,
added,194,NNB Washroom,5.6561618,-0.1879508,toilets,
added,195,"Faculty of Arts, Languages",5.6509498,-0.1883360,unknown,
added,196,UGBS extention,5.6527842,-0.1880690,unknown,
added,197,Florence A.Dolphyne Charlets,5.6412304,-0.1980666,unknown,
added,198,,5.6519299,-0.1881279,parking,
added,199,,5.6529159,-0.1877251,parking,
added,200,,5.6529245,-0.1863661,parking,
added,201,Kuffour Quadrangle,5.6529284,-0.1870485,fountain,
added,202,Office of The Dean of Students,5.6513197,-0.1876040,unknown,
added,203,Legon Post Office,5.6508996,-0.1876341,post_office,
added,204,Volta Car Park,5.6511889,-0.1889093,parking,
added,205,Agric Science Extension,5.6497021,-0.1842235,unknown,
added,206,office,5.6496809,-0.1809555,unknown,
added,207,Ghana Dance Ensemble,5.6501876,-0.1809883,unknown,
added,208,Ghana Dance Ensemble,5.6500810,-0.1811431,unknown,
added,209,Ghana Dance Ensemble,5.6504095,-0.1811342,unknown,
added,210,Ghana Institute of Management and Public Administration,5.6361440,-0.2021273,university,
added,211,,5.6390070,-0.1815825,parking,
added,212,University of Ghana Medical Center Limited,5.6318638,-0.1859247,hospital,
added,213,Vikings Hostel,5.6444108,-0.1856251,unknown,
added,214,African Studies Dept,5.6511184,-0.1819005,unknown,
added,215,Banking Square Parking,5.6432149,-0.1857055,parking,
added,216,Soil Science,5.6501438,-0.1827038,unknown,
added,217,University of Ghana Sports Directorate,5.6397580,-0.1815233,unknown,
added,218,office,5.6492324,-0.1807825,unknown,
added,219,Office,5.6490988,-0.1811173,unknown,
added,220,Archeology Lecturers Offices,5.6528384,-0.1811477,unknown,
added,221,Geography Lecturers office,5.6511521,-0.1826368,unknown,
added,222,Public Affairs Directorate,5.6510658,-0.1954203,unknown,
added,223,Distance Education Center,5.6510978,-0.1812731,unknown,
added,224,Cash office,5.6501791,-0.1954248,unknown,
added,225,communication dept,5.6514484,-0.1809798,unknown,
added,226,college of education,5.6530756,-0.1811297,unknown,
added,227,College of Education,5.6525914,-0.1811277,unknown,
added,228,Dance practical venue,5.6488529,-0.1807903,unknown,
added,229,Distance Education Center,5.6512011,-0.1811310,unknown,
added,230,Distance Education Center,5.6510940,-0.1809785,unknown,
added,231,Department of Archaelogy,5.6520276,-0.1811788,unknown,
added,232,The Baby Nest,5.6421746,-0.1979647,kindergarten,
added,233,Career and councelling dept,5.6494475,-0.1902795,unknown,
added,234,Confusious Institute,5.6490400,-0.1897362,unknown,
added,235,Language Center,5.6498662,-0.1895072,unknown,
added,236,,5.6511099,-0.1822693,parking,
added,237,family health shio,5.6480466,-0.1788001,unknown,
added,238,First Eye Plaza,5.6414407,-0.1779577,unknown,
added,239,"Young African Leaders Initiative Regional Leadership Center, West Africa, Accra (YALI)",5.6342822,-0.2001162,unknown,
added,240,Department of Plant Biology,5.6546422,-0.1834414,unknown,
added,241,,5.6665430,-0.1779128,bus_station,
added,242,Modern language department,5.6494610,-0.1898441,unknown,
added,243,Academic Registry Public Relation Department,5.6359172,-0.1998877,unknown,
added,244,Business Department,5.6360535,-0.1994570,unknown,
added,245,Porter's lodge,5.6347639,-0.1992156,unknown,
