resource_id,resource_type,home_location_id,capacity,availability_status
V001,Van,L029,4,AVAILABLE
V002,Van,L023,4,BUSY
V003,Van,L030,6,BUSY
V004,Van,L027,4,AVAILABLE
V005,Van,L022,5,BUSY
V006,Van,L030,4,BUSY
V007,Van,L031,4,BUSY
V008,Van,L031,5,AVAILABLE
R001,Rider,L033,1,AVAILABLE
R002,Rider,L012,1,AVAILABLE
R003,Rider,L015,1,AVAILABLE
R004,Rider,L012,1,BUSY
R005,Rider,L042,1,BUSY
R006,Rider,L021,1,AVAILABLE
R007,Rider,L012,1,BUSY
R008,Rider,L032,2,BUSY
R009,Rider,L033,1,BUSY
R010,Rider,L009,1,AVAILABLE
R011,Rider,L023,2,BUSY
R012,Rider,L026,1,AVAILABLE
S001,ShuttleBus,L048,30,AVAILABLE
S002,ShuttleBus,L047,24,BUSY
S003,ShuttleBus,L046,24,BUSY
S004,ShuttleBus,L046,30,AVAILABLE
S005,ShuttleBus,L048,24,AVAILABLE
S006,ShuttleBus,L046,24,AVAILABLE
M001,MaintenanceCrew,L003,3,AVAILABLE
M002,MaintenanceCrew,L041,2,OFFLINE
M003,MaintenanceCrew,L041,4,AVAILABLE
M004,MaintenanceCrew,L003,4,AVAILABLE
