fromId,toId,distanceMeters,speedKph,undirected,highway
1,2,29.2,30,1,residential
2,3,27.4,30,1,residential
3,4,36.7,30,1,residential
4,5,29.3,30,1,residential
5,6,35.4,30,1,residential
6,7,21.7,30,1,residential
7,8,27.2,30,1,residential
8,9,38.0,30,1,residential
9,10,33.2,30,1,residential
10,11,31.5,30,1,residential
11,12,30.5,30,1,residential
12,13,22.0,30,1,residential
13,14,29.2,30,1,residential
14,15,20.5,30,1,residential
15,16,21.6,30,1,residential
16,17,29.7,30,1,residential
17,18,13.3,30,1,residential
18,19,21.6,30,1,residential
19,20,22.9,30,1,residential
20,21,21.6,30,1,residential
21,22,21.8,30,1,residential
22,23,10.5,30,1,residential
23,24,14.9,30,1,residential
24,25,14.9,30,1,residential
25,26,15.3,30,1,residential
26,27,31.5,30,1,residential
27,28,15.3,30,1,residential
28,29,24.1,30,1,residential
29,30,19.5,30,1,residential
30,31,19.1,30,1,residential
31,32,40.3,30,1,residential
32,33,43.5,30,1,residential
34,35,51.8,30,1,residential
35,36,114.8,30,1,residential
36,37,5.1,30,1,residential
37,38,25.6,30,1,residential
38,39,73.9,30,1,residential
39,40,43.1,30,1,residential
40,41,33.1,30,1,residential
41,42,8.3,30,1,residential
42,43,24.3,30,1,residential
43,44,18.8,30,1,residential
44,45,54.9,30,1,residential
45,46,27.6,30,1,residential
46,47,92.8,30,1,residential
47,48,90.8,30,1,residential
48,49,61.0,30,1,residential
49,50,3.8,30,1,residential
50,51,7.7,30,1,residential
51,52,11.4,30,1,residential
52,53,10.5,30,1,residential
53,54,18.6,30,1,residential
54,55,23.4,30,1,residential
55,56,10.3,30,1,residential
56,57,2.1,30,1,residential
57,58,14.0,30,1,residential
58,59,15.9,30,1,residential
59,60,16.1,30,1,residential
60,61,14.8,30,1,residential
61,62,15.9,30,1,residential
63,64,39.6,20,1,unclassified
65,66,9.7,40,1,tertiary
66,67,9.7,40,1,tertiary
67,68,9.7,40,1,tertiary
68,69,7.4,40,1,tertiary
69,70,7.4,40,1,tertiary
70,71,11.0,40,1,tertiary
71,63,8.8,40,1,tertiary
63,72,12.1,40,1,tertiary
72,73,9.7,40,1,tertiary
73,74,9.7,40,1,tertiary
74,75,9.7,40,1,tertiary
75,76,8.1,40,1,tertiary
76,77,8.1,40,1,tertiary
77,78,8.1,40,1,tertiary
79,80,69.0,20,1,unclassified
78,81,9.9,40,1,tertiary
81,82,8.5,40,1,tertiary
82,83,9.7,40,1,tertiary
68,84,4.6,20,1,unclassified
84,85,8.1,20,1,unclassified
85,79,13.1,20,1,unclassified
86,87,15.8,40,1,tertiary
87,88,12.9,40,1,tertiary
88,89,16.2,40,1,tertiary
90,91,15.6,20,1,unclassified
91,92,16.4,20,1,unclassified
92,93,13.0,20,1,unclassified
93,94,11.7,20,1,unclassified
95,96,103.3,20,1,unclassified
96,97,48.1,20,1,unclassified
97,98,109.1,20,1,unclassified
99,100,19.2,40,1,tertiary
100,101,30.3,40,1,tertiary
101,102,9.0,40,1,tertiary
102,103,23.8,40,1,tertiary
103,104,15.9,40,1,tertiary
104,105,26.6,40,1,tertiary
105,106,65.5,40,1,tertiary
106,107,11.7,40,1,tertiary
107,108,22.6,40,1,tertiary
108,109,62.1,40,1,tertiary
109,110,80.8,40,1,tertiary
110,111,22.0,40,1,tertiary
112,113,33.3,20,1,unclassified
113,114,20.3,20,1,unclassified
114,115,19.7,20,1,unclassified
115,116,43.5,20,1,unclassified
116,117,146.7,20,1,unclassified
117,118,50.8,20,1,unclassified
118,119,19.6,20,1,unclassified
119,120,95.6,20,1,unclassified
120,121,13.8,20,1,unclassified
121,122,66.5,20,1,unclassified
122,123,123.6,20,1,unclassified
123,124,11.7,20,1,unclassified
124,125,65.6,20,1,unclassified
125,126,33.7,20,1,unclassified
126,127,13.9,20,1,unclassified
99,128,8.9,40,1,tertiary
128,129,11.0,40,1,tertiary
129,130,12.1,40,1,tertiary
130,94,13.0,40,1,tertiary
131,132,4.8,30,1,residential
132,133,63.5,30,1,residential
133,134,16.0,30,1,residential
134,135,22.7,30,1,residential
135,136,22.8,30,1,residential
136,137,80.0,30,1,residential
137,138,17.0,30,1,residential
138,139,55.1,30,1,residential
139,140,11.1,30,1,residential
140,141,20.0,30,1,residential
141,142,43.7,30,1,residential
142,143,107.8,30,1,residential
143,144,90.8,30,1,residential
144,145,33.1,30,1,residential
145,146,21.8,30,1,residential
146,147,50.2,30,1,residential
147,148,13.6,30,1,residential
148,149,24.2,30,1,residential
149,150,52.1,30,1,residential
150,151,16.9,30,1,residential
151,152,14.2,30,1,residential
152,153,79.9,30,1,residential
153,154,105.7,30,1,residential
154,155,99.2,30,1,residential
155,156,128.5,30,1,residential
156,157,128.8,30,1,residential
157,158,32.7,30,1,residential
159,160,64.1,30,1,residential
160,161,17.6,30,1,residential
161,162,41.5,30,1,residential
162,163,31.0,30,1,residential
163,164,21.6,30,1,residential
164,165,6.5,30,1,residential
165,166,100.5,30,1,residential
166,167,4.0,30,1,residential
64,168,39.5,20,1,unclassified
168,169,101.8,20,1,unclassified
169,170,169.9,20,1,unclassified
170,171,41.4,20,1,unclassified
171,172,58.4,20,1,unclassified
172,173,10.7,20,1,unclassified
173,174,30.0,20,1,unclassified
174,175,40.9,20,1,unclassified
175,176,29.9,20,1,unclassified
176,177,19.1,20,1,unclassified
177,178,28.9,20,1,unclassified
178,179,9.9,20,1,unclassified
179,180,13.0,20,1,unclassified
180,181,30.8,20,1,unclassified
181,182,20.9,20,1,unclassified
183,184,53.0,20,1,service
184,185,26.1,20,1,service
185,186,46.3,20,1,service
187,188,2.0,20,1,service
188,189,1.6,20,1,service
189,190,2.0,20,1,service
190,191,51.3,20,1,service
191,192,2.6,20,1,service
192,193,1.8,20,1,service
193,194,39.0,20,1,service
194,195,9.5,20,1,service
