id,lat,lon
1,5.6517894,-0.1911517
2,5.6519115,-0.1913858
3,5.6519923,-0.1916197
4,5.6520510,-0.1919457
5,5.6520641,-0.1922104
6,5.6520343,-0.1925291
7,5.6520030,-0.1927228
8,5.6519315,-0.1929576
9,5.6518074,-0.1932774
10,5.6516259,-0.1935162
11,5.6514471,-0.1937372
12,5.6512309,-0.1939064
13,5.6510415,-0.1939641
14,5.6507811,-0.1940002
15,5.6505967,-0.1940002
16,5.6504024,-0.1939957
17,5.6501463,-0.1939207
18,5.6500355,-0.1938749
19,5.6498848,-0.1937512
20,5.6497349,-0.1936087
21,5.6496231,-0.1934490
22,5.6495066,-0.1932908
23,5.6494585,-0.1932088
24,5.6494159,-0.1930816
25,5.6493642,-0.1929575
26,5.6493185,-0.1928268
27,5.6492602,-0.1925481
28,5.6492491,-0.1924106
29,5.6492317,-0.1921938
30,5.6492472,-0.1920186
31,5.6492624,-0.1918465
32,5.6493665,-0.1914977
33,5.6495400,-0.1911450
34,5.6451453,-0.1919754
35,5.6453154,-0.1924114
36,5.6456923,-0.1933774
37,5.6457091,-0.1934206
38,5.6457929,-0.1936357
39,5.6460073,-0.1942679
40,5.6461322,-0.1946363
41,5.6462032,-0.1949269
42,5.6462147,-0.1950006
43,5.6462486,-0.1952179
44,5.6462762,-0.1953854
45,5.6463569,-0.1958750
46,5.6463963,-0.1961211
47,5.6465289,-0.1969492
48,5.6466663,-0.1977577
49,5.6467483,-0.1983031
50,5.6467468,-0.1983377
51,5.6467438,-0.1984068
52,5.6467169,-0.1985061
53,5.6466765,-0.1985918
54,5.6465437,-0.1986941
55,5.6463767,-0.1988228
56,5.6463076,-0.1988845
57,5.6462935,-0.1988971
58,5.6462198,-0.1989993
59,5.6461133,-0.1990958
60,5.6459789,-0.1991509
61,5.6458456,-0.1991448
62,5.6457096,-0.1991014
63,5.6396656,-0.1836538
64,5.6394499,-0.1833688
65,5.6401540,-0.1837682
66,5.6400770,-0.1838098
67,5.6399936,-0.1838347
68,5.6399066,-0.1838347
69,5.6398423,-0.1838179
70,5.6397832,-0.1837874
71,5.6397105,-0.1837196
72,5.6396475,-0.1835456
73,5.6396567,-0.1834585
74,5.6396901,-0.1833776
75,5.6397450,-0.1833097
76,5.6398040,-0.1832671
77,5.6398713,-0.1832398
78,5.6399431,-0.1832294
79,5.6397762,-0.1840275
80,5.6395600,-0.1846123
81,5.6400208,-0.1831864
82,5.6400721,-0.1831292
83,5.6401232,-0.1830579
84,5.6398884,-0.1838725
85,5.6398425,-0.1839298
86,5.6402392,-0.1834252
87,5.6403381,-0.1835282
88,5.6404289,-0.1836006
89,5.6405436,-0.1836905
90,5.6444464,-0.1849805
91,5.6443072,-0.1849639
92,5.6441618,-0.1849371
93,5.6440507,-0.1849001
94,5.6439575,-0.1848513
95,5.6505551,-0.1848851
96,5.6505573,-0.1839512
97,5.6505581,-0.1835162
98,5.6505528,-0.1825306
99,5.6440203,-0.1852509
100,5.6439197,-0.1853916
101,5.6438187,-0.1856463
102,5.6437889,-0.1857215
103,5.6437222,-0.1859254
104,5.6437142,-0.1860689
105,5.6437195,-0.1863089
106,5.6437309,-0.1869005
107,5.6437329,-0.1870063
108,5.6437289,-0.1872101
109,5.6437243,-0.1877715
110,5.6437189,-0.1885017
111,5.6437175,-0.1887009
112,5.6505548,-0.1890985
113,5.6502551,-0.1890929
114,5.6500722,-0.1890960
115,5.6498949,-0.1890991
116,5.6495039,-0.1891059
117,5.6481844,-0.1890876
118,5.6477274,-0.1890899
119,5.6475512,-0.1890908
120,5.6466917,-0.1890951
121,5.6465677,-0.1890951
122,5.6459694,-0.1890957
123,5.6448583,-0.1891053
124,5.6447527,-0.1891059
125,5.6441655,-0.1891595
126,5.6438657,-0.1892012
127,5.6437437,-0.1892281
128,5.6440216,-0.1851704
129,5.6440110,-0.1850712
130,5.6439909,-0.1849639
131,5.6507222,-0.1824672
132,5.6507649,-0.1824659
133,5.6513361,-0.1824768
134,5.6514804,-0.1824796
135,5.6516848,-0.1824835
136,5.6518899,-0.1824875
137,5.6526093,-0.1824961
138,5.6527621,-0.1824943
139,5.6532572,-0.1824931
140,5.6533567,-0.1824930
141,5.6535363,-0.1824954
142,5.6539291,-0.1824952
143,5.6548983,-0.1824857
144,5.6557149,-0.1824988
145,5.6560125,-0.1824961
146,5.6562086,-0.1825082
147,5.6566572,-0.1825617
148,5.6567785,-0.1825766
149,5.6569960,-0.1825913
150,5.6574645,-0.1825860
151,5.6576166,-0.1825931
152,5.6577436,-0.1826014
153,5.6584614,-0.1826263
154,5.6594116,-0.1826611
155,5.6603033,-0.1826621
156,5.6614582,-0.1826155
157,5.6626157,-0.1825687
158,5.6629102,-0.1825678
159,5.6532669,-0.1834678
160,5.6527107,-0.1836214
161,5.6525555,-0.1836545
162,5.6521849,-0.1837005
163,5.6519073,-0.1837246
164,5.6517127,-0.1837282
165,5.6516540,-0.1837293
166,5.6507502,-0.1837242
167,5.6507138,-0.1837238
168,5.6391541,-0.1831718
169,5.6383566,-0.1827195
170,5.6370256,-0.1819646
171,5.6367052,-0.1817739
172,5.6362666,-0.1814844
173,5.6362212,-0.1813996
174,5.6361107,-0.1811524
175,5.6360387,-0.1807897
176,5.6360252,-0.1805194
177,5.6360039,-0.1803477
178,5.6359185,-0.1801010
179,5.6358755,-0.1800226
180,5.6358192,-0.1799200
181,5.6356602,-0.1796922
182,5.6355455,-0.1795431
183,5.6406785,-0.1811983
184,5.6402021,-0.1811836
185,5.6399686,-0.1811637
186,5.6395527,-0.1811469
187,5.6474217,-0.1813898
188,5.6474037,-0.1813938
189,5.6473897,-0.1813958
190,5.6473757,-0.1814065
191,5.6473390,-0.1818685
