road_id,from_location_id,to_location_id,distance_km,travel_time_min,condition_weight
R001,L001,L002,0.14,1,1.0
R002,L001,L003,0.14,1,1.0
R003,L001,L004,0.08,1,1.2
R004,L001,L022,0.13,1,1.0
R005,L001,L040,0.13,1,1.0
R006,L002,L015,0.13,1,1.3
R007,L002,L016,0.18,1,1.0
R008,L002,L024,0.22,2,1.3
R009,L003,L004,0.06,1,1.3
R010,L003,L022,0.16,1,1.2
R011,L003,L035,0.1,1,1.0
R012,L003,L039,0.12,1,1.1
R013,L003,L048,0.11,1,1.3
R014,L004,L022,0.14,1,1.0
R015,L004,L039,0.11,1,1.0
R016,L005,L006,0.06,1,1.3
R017,L005,L007,0.13,1,1.2
R018,L005,L009,0.06,1,1.3
R019,L005,L023,0.15,1,1.0
R020,L006,L008,0.13,1,1.3
R021,L006,L009,0.12,1,1.1
R022,L007,L008,0.06,1,1.0
R023,L007,L010,0.08,1,1.0
R024,L008,L010,0.07,1,1.0
R025,L008,L030,0.19,1,1.2
R026,L008,L031,0.15,1,1.2
R027,L009,L022,0.17,1,1.3
R028,L009,L023,0.09,1,1.0
R029,L009,L024,0.19,1,1.0
R030,L010,L030,0.19,1,1.0
R031,L010,L031,0.19,1,1.1
R032,L011,L024,0.44,3,1.1
R033,L011,L026,0.41,3,1.2
R034,L011,L041,0.56,4,1.0
R035,L011,L042,0.5,4,1.0
R036,L012,L014,0.13,1,1.0
R037,L012,L015,0.06,1,1.0
R038,L012,L016,0.1,1,1.2
R039,L013,L014,0.05,1,1.0
R040,L013,L015,0.14,1,1.1
R041,L013,L016,0.16,1,1.0
R042,L013,L017,0.09,1,1.2
R043,L013,L019,0.12,1,1.1
R044,L013,L037,0.15,1,1.0
R045,L014,L017,0.07,1,1.0
R046,L014,L019,0.12,1,1.3
R047,L014,L020,0.16,1,1.2
R048,L015,L016,0.08,1,1.3
R049,L016,L017,0.16,1,1.1
R050,L016,L020,0.17,1,1.0
R051,L016,L041,0.63,5,1.0
R052,L016,L042,0.55,4,1.2
R053,L017,L020,0.09,1,1.0
R054,L017,L037,0.12,1,1.1
R055,L018,L019,0.1,1,1.0
R056,L018,L038,0.16,1,1.2
R057,L018,L039,0.2,2,1.2
R058,L018,L040,0.16,1,1.1
R059,L019,L037,0.18,1,1.0
R060,L021,L023,0.21,2,1.2
R061,L021,L041,0.61,5,1.0
R062,L022,L023,0.13,1,1.0
R063,L023,L024,0.13,1,1.0
R064,L025,L036,0.1,1,1.0
R065,L025,L043,0.23,2,1.0
R066,L025,L045,0.07,1,1.3
R067,L026,L027,0.11,1,1.0
R068,L026,L028,0.2,2,1.0
R069,L026,L029,0.19,1,1.0
R070,L026,L030,0.14,1,1.2
R071,L026,L031,0.18,1,1.0
R072,L027,L028,0.09,1,1.0
R073,L027,L030,0.25,2,1.0
R074,L028,L029,0.11,1,1.1
R075,L028,L032,0.31,2,1.0
R076,L028,L033,0.39,3,1.0
R077,L028,L034,0.25,2,1.2
R078,L028,L047,0.34,3,1.0
R079,L029,L034,0.26,2,1.2
R080,L030,L031,0.1,1,1.0
R081,L032,L033,0.08,1,1.1
R082,L032,L034,0.07,1,1.0
R083,L032,L047,0.18,1,1.2
R084,L033,L047,0.18,1,1.0
R085,L034,L047,0.21,2,1.0
R086,L035,L045,0.12,1,1.0
R087,L036,L043,0.25,2,1.0
R088,L036,L045,0.15,1,1.1
R089,L038,L039,0.07,1,1.1
R090,L038,L040,0.1,1,1.1
R091,L038,L044,0.28,2,1.0
R092,L039,L040,0.07,1,1.0
R093,L041,L042,0.1,1,1.3
R094,L043,L044,0.11,1,1.0
R095,L043,L045,0.16,1,1.0
R096,L043,L046,0.32,2,1.0
R097,L043,L048,0.25,2,1.0
R098,L044,L045,0.27,2,1.1
R099,L044,L046,0.21,2,1.1
R100,L045,L048,0.16,1,1.0
R101,L021,L010,0.29,2,1.0
R102,L005,L035,0.11,1,1.0
R103,L033,L014,0.07,1,1.3
R104,L027,L005,0.19,1,1.3
R105,L004,L037,0.12,1,1.1
R106,L041,L038,0.62,5,1.3
R107,L004,L015,0.08,1,1.1
R108,L019,L027,0.14,1,1.0
R109,L037,L020,0.39,3,1.1
R110,L007,L038,0.39,3,1.1
R111,L024,L007,0.38,3,1.0
R112,L040,L014,0.35,3,1.3
R113,L021,L030,0.4,3,1.3
R114,L024,L020,0.2,2,1.1
R115,L045,L016,0.1,1,1.2
R116,L022,L047,0.32,2,1.0
R117,L008,L033,0.3,2,1.2
R118,L010,L032,0.3,2,1.0
R119,L036,L037,0.52,4,1.2
R120,L022,L045,0.26,2,1.3
R121,L038,L030,0.09,1,1.0
R122,L018,L031,0.47,4,1.0
R123,L004,L047,0.47,4,1.3
R124,L019,L046,0.28,2,1.2
R125,L002,L030,0.26,2,1.0
R126,L032,L004,0.18,1,1.2
R127,L009,L048,0.2,2,1.3
R128,L032,L006,0.15,1,1.3
R129,L036,L018,0.58,4,1.3
R130,L046,L027,0.64,5,1.3
R131,L015,L010,0.1,1,1.1
R132,L015,L043,0.19,1,1.3
R133,L038,L012,0.21,2,1.0
R134,L010,L027,0.37,3,1.2
R135,L009,L045,0.57,4,1.0
R136,L030,L044,0.53,4,1.3
R137,L026,L007,0.34,3,1.3
R138,L004,L013,0.09,1,1.1
R139,L029,L011,0.12,1,1.0
R140,L007,L001,0.39,3,1.0
R141,L024,L040,0.07,1,1.1
R142,L040,L025,0.14,1,1.2
R143,L023,L039,0.27,2,1.0
R144,L008,L032,0.65,5,1.3
R145,L031,L020,0.1,1,1.0
R146,L048,L022,0.49,4,1.3
R147,L045,L011,0.36,3,1.1
R148,L034,L024,0.14,1,1.0
R149,L034,L020,0.64,5,1.0
R150,L045,L017,0.36,3,1.1
R151,L023,L015,0.37,3,1.2
R152,L041,L015,0.42,3,1.1
R153,L016,L026,0.49,4,1.1
R154,L013,L034,0.35,3,1.0
R155,L002,L018,0.33,3,1.1
R156,L045,L039,0.62,5,1.3
R157,L047,L023,0.62,5,1.2
R158,L006,L015,0.11,1,1.3
R159,L013,L022,0.17,1,1.0
R160,L031,L042,0.26,2,1.0
R161,L043,L008,0.6,5,1.1
R162,L031,L012,0.31,2,1.2
R163,L006,L047,0.29,2,1.3
R164,L048,L006,0.48,4,1.1
R165,L009,L002,0.14,1,1.3
R166,L042,L010,0.42,3,1.3
R167,L043,L023,0.14,1,1.1
R168,L047,L042,0.11,1,1.1
R169,L028,L013,0.55,4,1.1
R170,L002,L017,0.18,1,1.1
R171,L038,L021,0.21,2,1.3
R172,L009,L004,0.6,5,1.2
R173,L030,L043,0.4,3,1.3
R174,L033,L009,0.37,3,1.0
R175,L029,L012,0.42,3,1.1
R176,L012,L010,0.33,3,1.0
R177,L036,L004,0.25,2,1.3
R178,L007,L036,0.08,1,1.1
R179,L018,L003,0.51,4,1.3
R180,L036,L002,0.51,4,1.0
R181,L029,L021,0.42,3,1.1
R182,L045,L018,0.32,2,1.3
R183,L033,L016,0.47,4,1.2
R184,L036,L013,0.55,4,1.1
R185,L027,L008,0.29,2,1.2
R186,L005,L043,0.19,1,1.0
R187,L014,L043,0.23,2,1.0
R188,L010,L046,0.44,3,1.2
R189,L010,L017,0.58,4,1.3
R190,L015,L048,0.62,5,1.3
R191,L032,L011,0.64,5,1.1
R192,L011,L046,0.31,2,1.3
R193,L022,L027,0.17,1,1.2
R194,L022,L036,0.33,3,1.0
R195,L025,L022,0.36,3,1.2
R196,L033,L005,0.12,1,1.1
